Team,OVR Rating,OFF Rating,DEF Rating
Blue Springs South,14.98,8.01,6.98
Liberty North,14.38,7.64,6.74
Eureka,13.31,5.18,8.13
Staley,12.74,5.35,7.38
Rockhurst,12.68,6.82,5.86
SLUH,12.57,5.27,7.30
Jackson,12.24,6.13,6.11
Liberty,12.23,5.01,7.22
Francis Howell,12.17,5.40,6.77
Lafayette (Wildwood),12.15,5.46,6.69
Marquette,12.14,5.94,6.20
Willard,12.01,5.87,6.13
Kickapoo,11.83,4.93,6.90
Rockwood Summit,11.60,5.91,5.69
Nixa,11.54,5.71,5.83
Vianney,11.50,3.88,7.62
Lee's Summit,11.01,6.06,4.95
Webb City,10.93,5.28,5.64
Lindbergh,10.90,4.39,6.51
Lee's Summit North,10.87,5.75,5.12
Francis Howell Central,10.83,4.28,6.56
Summit Christian Academy,10.75,7.18,3.57
Seckman,10.70,3.93,6.78
Ft. Zumwalt West,10.60,4.75,5.85
Raymore-Peculiar,10.37,5.43,4.94
Marshfield,10.35,5.49,4.86
Logan-Rogersville,10.32,4.58,5.74
Christian Brothers College,9.94,4.60,5.34
St. Pius X (Kansas City),9.91,4.10,5.81
St. Dominic,9.90,3.62,6.28
Warrensburg,9.80,3.91,5.89
Oakville,9.79,4.11,5.69
Southern Boone,9.75,5.11,4.63
Poplar Bluff,9.70,5.22,4.49
Duchesne,9.70,4.49,5.21
Harrisonville,9.68,4.35,5.33
Festus,9.65,4.54,5.11
Chaminade College Prep,9.62,5.19,4.44
Rolla,9.61,5.20,4.41
Union,9.40,4.51,4.89
Lee's Summit West,9.33,5.10,4.24
Carl Junction,9.29,4.08,5.21
Timberland,9.14,4.44,4.69
Springfield Catholic,9.01,4.73,4.28
Glendale,8.99,4.42,4.57
Rock Bridge,8.92,4.03,4.89
Parkway South,8.81,4.27,4.55
Ft. Zumwalt East,8.71,4.19,4.52
Platte County,8.68,3.44,5.24
Park Hill South,8.66,4.42,4.24
De Smet Jesuit,8.61,3.60,5.00
Ozark,8.57,3.68,4.89
Scott City,8.54,5.10,3.44
Kearney,8.52,3.53,4.99
Francis Howell North,8.35,4.68,3.67
North Point,8.29,3.54,4.75
Centralia,8.27,4.83,3.43
Orchard Farm,8.18,3.76,4.43
Kirkwood,8.17,2.96,5.21
Nevada,8.04,4.03,4.00
Fair Grove,8.03,4.17,3.86
Joplin,7.98,2.16,5.82
Troy Buchanan,7.90,1.83,6.07
Hickman,7.88,2.95,4.93
Grain Valley,7.80,3.45,4.35
Blair Oaks,7.77,3.60,4.17
Excelsior Springs,7.65,3.07,4.58
Benton,7.65,3.32,4.34
Westminster Christian Academy,7.62,3.21,4.41
Father Tolton,7.55,4.67,2.87
Liberty (Wentzville),7.43,2.76,4.67
Mehlville,7.17,4.66,2.51
Parkway Central,7.15,2.75,4.39
Farmington,6.96,2.72,4.25
Blue Springs,6.93,3.68,3.24
Smith-Cotton,6.63,4.44,2.19
Smithville,6.63,2.79,3.84
Moberly,6.62,1.44,5.18
Branson,6.60,2.52,4.08
Pacific,6.52,4.45,2.07
Seneca,6.46,2.85,3.60
Park Hill,6.29,1.74,4.55
Northland Christian,6.26,2.79,3.47
Mexico,6.21,2.93,3.28
Valle Catholic,6.15,2.89,3.26
MICDS,6.14,3.61,2.53
Helias Catholic,6.10,1.02,5.07
Savannah,6.02,3.10,2.93
St. Francis Borgia,6.01,3.37,2.64
Carthage,5.99,2.55,3.44
Republic,5.97,2.18,3.80
Central (Cape Girardeau),5.91,1.60,4.31
Neosho,5.90,3.27,2.62
Jefferson City,5.87,3.66,2.20
St. Michael the Archangel,5.83,3.56,2.27
Ft. Zumwalt North,5.82,2.59,3.23
Boonville,5.79,2.96,2.83
Washington,5.75,1.56,4.19
North County,5.72,1.49,4.24
Winnetonka,5.67,1.51,4.16
Faith Christian Academy,5.67,2.08,3.60
Aurora,5.44,2.41,3.03
Battle with Columbia Independent,5.43,2.93,2.50
Hillsboro,5.39,2.38,3.02
Lutheran South,5.29,2.13,3.16
Hollister,5.28,2.28,3.00
Fort Osage,5.22,3.17,2.05
Capital City,5.13,1.83,3.30
Fatima,4.88,1.83,3.05
Notre Dame (Cape Girardeau),4.84,1.54,3.30
Parkway West,4.77,2.79,1.98
Pembroke Hill,4.74,3.24,1.50
Salisbury,4.73,2.88,1.85
Licking,4.67,2.38,2.29
Gainesville,4.67,2.11,2.56
Strafford,4.65,1.62,3.03
Camdenton,4.58,2.53,2.05
West Plains,4.57,1.31,3.27
Central (St. Joseph),4.52,1.70,2.82
Chillicothe,4.49,2.96,1.52
Pleasant Hill,4.37,2.58,1.78
Hannibal,4.33,2.61,1.72
Northwest (Cedar Hill),4.29,2.44,1.85
Saxony Lutheran,4.24,1.73,2.51
Mid-Buchanan,4.17,1.53,2.63
Potosi,4.16,2.03,2.13
St. Elizabeth,4.13,2.34,1.80
St. Charles West,4.01,1.95,2.06
East Carter,3.99,0.59,3.41
Truman,3.91,1.47,2.44
Chaffee,3.89,1.51,2.39
Ladue Horton Watkins,3.88,1.74,2.13
Oak Grove,3.86,2.12,1.74
Webster Groves,3.84,1.90,1.93
Sullivan,3.82,3.30,0.52
Bolivar,3.81,2.30,1.51
Knob Noster,3.79,1.45,2.35
Warrenton,3.68,1.69,1.99
Montgomery County,3.62,1.98,1.63
Pattonville,3.53,1.59,1.94
Lebanon,3.51,1.83,1.68
John Burroughs,3.49,0.79,2.70
Oak Park,3.48,1.23,2.26
Sikeston,3.48,1.25,2.23
West Platte,3.34,0.07,3.27
Russellville,3.28,1.53,1.75
Ava,3.24,1.16,2.08
Clayton,3.23,-0.05,3.28
Palmyra,3.16,2.49,0.66
Maysville,3.15,2.23,0.92
Purdy,2.98,0.99,1.99
Odessa,2.96,0.73,2.23
Kennett,2.87,1.44,1.43
Veritas Christian Academy,2.83,0.53,2.31
Crocker,2.81,1.88,0.92
Silex,2.76,2.17,0.59
Holden,2.64,2.10,0.54
St. Pius X (Festus),2.63,1.86,0.77
Fulton,2.63,0.85,1.78
South Callaway,2.57,0.64,1.93
Herculaneum,2.46,1.75,0.71
St. Clair,2.43,0.12,2.32
Priory,2.41,1.96,0.44
Marshall,2.40,2.27,0.13
Carrollton,2.39,0.76,1.62
Dexter,2.37,-0.84,3.22
Neelyville,2.34,1.23,1.11
Valley Park,2.31,-0.27,2.58
Jefferson (Festus),2.29,0.51,1.78
Rock Port,2.25,1.00,1.25
Lamar,2.19,1.33,0.86
Monett,2.16,-0.16,2.31
Kirksville,2.07,0.57,1.50
Greenville,2.07,1.58,0.49
Hartville,2.03,0.21,1.81
Fox,1.99,0.47,1.52
Alton,1.98,0.39,1.59
Macon,1.94,-0.39,2.33
Clark County,1.92,0.45,1.47
St. Paul Lutheran (Concordia),1.80,1.05,0.75
DeSoto,1.79,0.56,1.23
Affton,1.77,2.06,-0.29
Belle,1.74,0.13,1.61
Wright City,1.71,0.42,1.29
Mt. Vernon,1.70,0.02,1.69
Eldon,1.69,0.98,0.71
Eugene,1.68,0.27,1.41
Clinton,1.50,0.51,0.98
West County,1.47,0.90,0.57
Lincoln College Prep,1.46,1.03,0.43
Kelly,1.42,-0.72,2.14
Ash Grove,1.42,0.72,0.70
West Nodaway with Nodaway-Holt,1.38,1.09,0.29
Ft. Zumwalt South,1.38,1.12,0.26
Forsyth,1.37,0.30,1.07
St. Charles,1.34,0.35,0.99
Tipton,1.32,0.06,1.26
Lutheran North,1.27,0.81,0.46
Lone Jack,1.22,1.00,0.22
McDonald County,1.14,-0.11,1.26
Lutheran St. Charles,1.09,-0.00,1.10
Winfield,1.07,0.92,0.15
Schuyler County,0.97,-1.14,2.11
Iberia,0.90,-1.68,2.57
Owensville,0.85,-0.94,1.79
Portageville,0.84,-0.20,1.04
North Callaway,0.83,-0.05,0.88
Maryville,0.82,-0.43,1.25
North Platte,0.77,1.65,-0.88
Bernie,0.67,1.12,-0.45
Clever,0.67,0.31,0.36
Stockton,0.60,0.37,0.23
El Dorado Springs,0.54,-0.08,0.62
Atlanta,0.53,-0.12,0.65
Linn,0.46,-1.15,1.61
Holt,0.38,1.25,-0.87
Fordland,0.34,-0.13,0.46
Richmond,0.19,1.18,-0.99
Ste. Genevieve,0.18,0.65,-0.48
Houston,0.16,-0.03,0.20
Diamond,0.16,0.11,0.06
Waynesville,0.13,0.74,-0.61
Lafayette (St. Joseph),0.09,0.53,-0.44
Advance,0.07,0.20,-0.13
Plattsburg,0.03,-0.52,0.55
Warsaw,-0.05,-0.10,0.05
Bowling Green,-0.35,-1.90,1.55
Windsor (Imperial),-0.36,0.35,-0.71
New Bloomfield,-0.39,-0.56,0.17
Windsor,-0.45,0.39,-0.84
Reeds Spring,-0.45,-1.64,1.19
"Northwestern (Mendon) with Brunswick, Keytesville",-0.46,1.27,-1.73
Hillcrest,-0.54,-0.75,0.21
Wellington-Napoleon,-0.60,0.83,-1.43
Sacred Heart,-0.67,-1.09,0.42
Marceline,-0.70,0.37,-1.06
Hallsville,-0.71,-0.34,-0.38
Dixon,-0.73,0.36,-1.09
Bakersfield,-0.77,-0.25,-0.52
Lawson,-0.79,0.24,-1.03
Conway,-0.91,-0.52,-0.39
