Team,OVR Rating,OFF Rating,DEF Rating
Willard,11.89,5.70,6.19
Rockwood Summit,11.40,5.90,5.50
Webb City,10.87,5.31,5.56
Summit Christian Academy,10.76,7.07,3.69
Marshfield,10.18,5.36,4.83
St. Pius X (Kansas City),9.80,4.12,5.68
St. Dominic,9.44,3.47,5.97
Carl Junction,9.24,3.90,5.34
Festus,9.17,4.50,4.67
Union,9.06,4.21,4.84
Poplar Bluff,9.02,4.85,4.17
Warrensburg,8.96,3.67,5.29
Ft. Zumwalt East,8.70,4.36,4.33
De Smet Jesuit,8.66,3.71,4.95
Chaminade College Prep,8.66,4.64,4.01
Platte County,8.55,3.39,5.16
Kearney,8.00,3.47,4.53
Mehlville,7.48,4.89,2.59
Smithville,7.13,3.07,4.05
Father Tolton,6.99,3.86,3.12
Pacific,6.92,4.46,2.46
Farmington,6.91,2.94,3.97
Parkway Central,6.56,2.38,4.18
Winnetonka,6.49,2.05,4.43
Jefferson City,6.33,4.02,2.31
St. Francis Borgia,6.25,3.28,2.97
Central (Cape Girardeau),6.15,1.70,4.45
MICDS,5.92,3.21,2.71
Washington,5.78,1.55,4.23
Hillsboro,5.40,2.38,3.03
West Plains,5.18,1.74,3.43
Capital City,5.14,1.59,3.55
Webster Groves,3.99,2.05,1.93
Lebanon,3.78,1.70,2.08
Sikeston,3.76,1.22,2.54
Hannibal,3.69,2.21,1.48
Camdenton,3.54,1.70,1.84
Warrenton,3.31,1.48,1.83
Lincoln College Prep,2.96,1.62,1.34
John Burroughs,2.72,0.27,2.45
DeSoto,2.22,0.60,1.62
Ft. Zumwalt South,1.60,0.94,0.66
McDonald County,0.91,-0.02,0.93
Windsor (Imperial),0.22,-0.06,0.28
Holt,0.11,0.90,-0.79
Hillcrest,-0.56,-0.59,0.03
William Chrisman,-0.67,-0.53,-0.14
Belton,-3.33,-1.49,-1.85
Raytown,-4.22,-1.68,-2.53
Van Horn,-4.49,-2.11,-2.38
Raytown South,-4.61,-1.88,-2.73
University City,-5.43,-1.28,-4.15
Parkway North,-5.64,-1.83,-3.81
Grandview,-5.77,-2.01,-3.76
Parkview,-9.25,-2.87,-6.38
Central (Springfield),-9.54,-2.46,-7.08
East (Kansas City),-10.71,-3.63,-7.08
McCluer North,-11.64,-5.12,-6.52
Ruskin,-15.44,-4.71,-10.73
Northeast (Kansas City),-16.83,-5.98,-10.85
Gateway with Soldan International Studies,-17.05,-6.45,-10.60
Hazelwood East,-17.78,-7.10,-10.68
